BASE_YYMM,M1T1,M1T2,M1T3,M1T5,M1T7,M1T10,M2T1,M2T2,M2T3,M2T5,M2T7,M2T10,M3T1,M3T2,M3T3,M3T5,M3T7,M3T10,M5T1,M5T2,M5T3,M5T5,M5T7,M5T10,M7T1,M7T2,M7T3,M7T5,M7T7,M7T10,M10T1,M10T2,M10T3,M10T5,M10T7,M10T10
201201,0.16200,0.15950,0.15600,0.15650,0.15250,0.14900,0.16700,0.16050,0.15800,0.15400,0.14800,0.14400,0.16500,0.15750,0.15450,0.15150,0.14400,0.14050,0.15900,0.15350,0.15400,0.15150,0.14150,0.13550,0.15900,0.15350,0.15350,0.15150,0.14150,0.13500,0.15950,0.15450,0.15400,0.15150,0.14150,0.13500
201202,0.14450,0.14500,0.14500,0.14300,0.14200,0.14200,0.15200,0.15250,0.15050,0.14700,0.14200,0.13950,0.15500,0.15400,0.14900,0.14650,0.13950,0.13850,0.15650,0.15550,0.15150,0.14900,0.14450,0.13900,0.15600,0.15550,0.15100,0.14900,0.14450,0.13850,0.15700,0.15650,0.15150,0.14900,0.14400,0.13850
201203,0.15600,0.15600,0.15100,0.14450,0.14000,0.13600,0.15500,0.15300,0.15000,0.14450,0.13700,0.13100,0.15600,0.15200,0.14850,0.14250,0.13550,0.13200,0.15350,0.15000,0.14700,0.14200,0.13650,0.13150,0.15350,0.15000,0.14700,0.14200,0.13650,0.13150,0.15450,0.15050,0.14700,0.14200,0.13650,0.13150
201204,0.15800,0.15350,0.15250,0.14500,0.14250,0.13950,0.16350,0.15950,0.15550,0.14600,0.14000,0.13450,0.16650,0.16150,0.15500,0.14700,0.13950,0.13550,0.15900,0.15550,0.15450,0.14850,0.14250,0.13700,0.15900,0.15500,0.15400,0.14850,0.14200,0.13700,0.15950,0.15600,0.15450,0.14850,0.14200,0.13700
201205,0.20900,0.19900,0.19300,0.17950,0.17350,0.16650,0.19800,0.19300,0.18650,0.17600,0.16750,0.15800,0.19600,0.19000,0.18100,0.17250,0.16350,0.15800,0.18200,0.17500,0.17300,0.16400,0.15850,0.15450,0.18200,0.17450,0.17250,0.16400,0.15850,0.15400,0.18300,0.17600,0.17300,0.16400,0.15850,0.15400
201206,0.18150,0.17200,0.17000,0.16050,0.15800,0.15500,0.17700,0.17150,0.16650,0.15800,0.15450,0.15000,0.17400,0.16800,0.16550,0.15550,0.14950,0.14750,0.16500,0.15750,0.15700,0.14950,0.14550,0.14400,0.16500,0.15750,0.15700,0.14950,0.14550,0.14400,0.16650,0.15900,0.15750,0.15000,0.14550,0.14400
201207,0.26650,0.25500,0.24900,0.23600,0.22900,0.22000,0.24050,0.23050,0.22200,0.20500,0.19950,0.19150,0.23550,0.22350,0.21450,0.19050,0.18550,0.18100,0.20500,0.19450,0.19000,0.17750,0.17400,0.17200,0.20500,0.19450,0.19000,0.17750,0.17500,0.17200,0.20500,0.19450,0.19000,0.17650,0.17500,0.17200
201208,0.25200,0.24200,0.23750,0.22650,0.21800,0.20700,0.23350,0.22350,0.21600,0.19950,0.19050,0.18050,0.22300,0.21450,0.20400,0.18600,0.17750,0.16850,0.20050,0.18950,0.18350,0.17100,0.16450,0.15950,0.19950,0.18800,0.18300,0.17050,0.16450,0.15900,0.19900,0.18800,0.18300,0.17050,0.16450,0.15900
201209,0.22200,0.21600,0.21100,0.21050,0.20450,0.19700,0.21150,0.20300,0.19500,0.18850,0.18100,0.17400,0.20350,0.19750,0.18350,0.17650,0.17050,0.16500,0.18550,0.17800,0.17450,0.16700,0.16150,0.15650,0.18550,0.17800,0.17450,0.16700,0.16150,0.15650,0.18550,0.17800,0.17550,0.16700,0.16200,0.15650
201210,0.20350,0.20050,0.19850,0.19100,0.18800,0.18500,0.20050,0.19500,0.19250,0.18850,0.18200,0.17700,0.19850,0.19500,0.18550,0.18500,0.17750,0.17100,0.18700,0.18000,0.17950,0.17700,0.17100,0.17100,0.18700,0.18000,0.17950,0.17700,0.17100,0.17150,0.18700,0.18000,0.17950,0.17700,0.17100,0.17100
201211,0.17325,0.17225,0.17000,0.16500,0.16025,0.15625,0.18250,0.17825,0.17375,0.16550,0.15900,0.15250,0.18175,0.17725,0.17200,0.16350,0.15350,0.14450,0.17225,0.16200,0.16050,0.15750,0.15050,0.14100,0.17230,0.16200,0.16050,0.15800,0.15050,0.14100,0.17330,0.16250,0.16050,0.15750,0.15050,0.14100
201212,0.15975,0.15925,0.15750,0.15300,0.14725,0.14125,0.17950,0.16825,0.16825,0.15950,0.15250,0.14550,0.17725,0.17125,0.16700,0.15850,0.15150,0.14500,0.16675,0.15900,0.15650,0.15700,0.15300,0.13850,0.16680,0.15900,0.15650,0.15700,0.15330,0.13850,0.16680,0.15900,0.15650,0.15730,0.15300,0.13850
201301,0.17625,0.17425,0.17200,0.16750,0.16125,0.15725,0.18650,0.18275,0.17775,0.16800,0.16000,0.15500,0.18325,0.17825,0.17400,0.16500,0.15750,0.15000,0.17175,0.16700,0.16300,0.15950,0.15450,0.14800,0.17180,0.16700,0.16300,0.16000,0.15430,0.14800,0.17180,0.16700,0.16330,0.15950,0.15450,0.14800
201302,0.16375,0.16425,0.16400,0.16350,0.15975,0.15725,0.17450,0.17375,0.17325,0.17150,0.16450,0.15850,0.17225,0.17175,0.17000,0.16800,0.16000,0.15400,0.17175,0.16900,0.16650,0.16350,0.16050,0.15550,0.17180,0.16900,0.16650,0.16380,0.16050,0.15550,0.17180,0.16900,0.16650,0.16350,0.16050,0.15550
201303,0.16275,0.16625,0.17000,0.17400,0.16775,0.16225,0.16800,0.17175,0.17425,0.17600,0.16850,0.16475,0.16925,0.17075,0.17050,0.17250,0.16500,0.16000,0.16875,0.16650,0.16625,0.16550,0.16250,0.16050,0.16880,0.16650,0.16630,0.16550,0.16250,0.16050,0.16880,0.16650,0.16630,0.16550,0.16250,0.16050
