BASE_YYMM,3M,6M,9M,1Y,1Y6M,2Y,2Y6M,3Y,4Y,5Y,7Y,10Y,15Y,20Y,30Y,50Y
202112,0.00992,0.01145,0.01246,0.01352,0.01550,0.01672,0.01745,0.01795,0.01925,0.02006,0.02194,0.02255,0.02312,0.02334,0.02315,0.02311
202111,0.01003,0.01063,0.01257,0.01318,0.01520,0.01654,0.01678,0.01787,0.01955,0.01990,0.02143,0.02204,0.02243,0.02255,0.02220,0.02212
202110,0.00862,0.00997,0.01316,0.01488,0.01602,0.01836,0.01950,0.02107,0.02338,0.02425,0.02511,0.02562,0.02563,0.02530,0.02500,0.02485
202109,0.00763,0.00803,0.01044,0.01091,0.01340,0.01443,0.01515,0.01590,0.01834,0.01927,0.02104,0.02237,0.02255,0.02242,0.02227,0.02217
202108,0.00757,0.00830,0.00938,0.01067,0.01141,0.01246,0.01295,0.01395,0.01507,0.01647,0.01810,0.01912,0.01958,0.01975,0.01960,0.01952
202107,0.00518,0.00666,0.00835,0.00938,0.01151,0.01248,0.01348,0.01415,0.01542,0.01635,0.01812,0.01867,0.01937,0.01950,0.01952,0.01932
202106,0.00540,0.00647,0.00870,0.00954,0.01150,0.01299,0.01380,0.01452,0.01597,0.01742,0.01960,0.02095,0.02195,0.02201,0.02197,0.02195
202105,0.00453,0.00480,0.00545,0.00675,0.00859,0.00991,0.01068,0.01227,0.01535,0.01742,0.01986,0.02180,0.02281,0.02295,0.02295,0.02292
202104,0.00471,0.00490,0.00544,0.00640,0.00778,0.00948,0.00996,0.01137,0.01465,0.01630,0.01909,0.02130,0.02243,0.02255,0.02260,0.02268
202103,0.00509,0.00519,0.00592,0.00693,0.00819,0.00915,0.01025,0.01127,0.01457,0.01597,0.01806,0.02057,0.02163,0.02175,0.02160,0.02177
202102,0.00401,0.00531,0.00586,0.00619,0.00741,0.00850,0.00940,0.01020,0.01217,0.01455,0.01699,0.01970,0.02037,0.02065,0.02075,0.02095
202101,0.00406,0.00543,0.00608,0.00636,0.00770,0.00850,0.00927,0.00972,0.01126,0.01315,0.01535,0.01765,0.01850,0.01890,0.01900,0.01895
202012,0.00416,0.00527,0.00595,0.00656,0.00800,0.00886,0.00974,0.00970,0.01168,0.01335,0.01528,0.01722,0.01802,0.01832,0.01832,0.01827
202011,0.00419,0.00441,0.00526,0.00588,0.00731,0.00839,0.00880,0.00980,0.01201,0.01335,0.01466,0.01662,0.01727,0.01741,0.01737,0.01756
202010,0.00443,0.00477,0.00569,0.00633,0.00749,0.00826,0.00862,0.00935,0.01117,0.01240,0.01363,0.01552,0.01597,0.01652,0.01655,0.01683
202009,0.00498,0.00572,0.00596,0.00604,0.00695,0.00781,0.00792,0.00842,0.00993,0.01100,0.01238,0.01427,0.01483,0.01560,0.01575,0.01605
202008,0.00456,0.00491,0.00602,0.00628,0.00700,0.00842,0.00905,0.00947,0.01070,0.01220,0.01362,0.01527,0.01594,0.01675,0.01672,0.01702
202007,0.00446,0.00462,0.00544,0.00565,0.00607,0.00712,0.00760,0.00792,0.00912,0.01032,0.01157,0.01295,0.01393,0.01492,0.01502,0.01517
202006,0.00479,0.00492,0.00541,0.00572,0.00675,0.00790,0.00842,0.00845,0.00997,0.01115,0.01250,0.01385,0.01484,0.01585,0.01602,0.01617
